"id","category","severity","confidence","status","claim","evidence","affected","impact","remediation","verification","contradictory","origin"
"W-01","correctness","medium","high","verified","ensure.ts findOrCreate single-flight keyed by scopeKey alone; two different names sharing a key coalesce and the second caller receives the FIRST entity (created:false, wrong id); second name never created","wrapper/ensure.ts:48-69; repro: npx tsx Promise.all([ensureTag Alpha/Beta scopeKey=shared-key]) -> both Alpha; tests/ensure.test.ts:18-45 covers only same-key-same-name","wrapper/ensure.ts; public ensureTag/ensureProject/ensureClient; scoped-client.ts:179-207 (safe)","silent wrong-entity reuse for direct callers; downstream calls write the wrong id","include name+noun in the flight key or document/enforce key uniqueness; add different-name-same-key test","repro run (executed); grep scopeKey users","none; scopeKey docs do not warn the key must encode the name","A"
"W-02","incomplete export","medium","high","verified","Workspace scoped client omits balanceAssignment (29 of 30 generated resource getters); ws.balanceAssignment undefined at runtime; invariant at scoped-client.ts:99-103 violated","wrapper/src/Client.ts:77-135 (30 getters incl. balanceAssignment:81); wrapper/scoped-client.ts:100-228 (29); grep balanceAssignment in scoped-client.ts = 0; README.md:11 says 29; docs/resources/README.md says 30","wrapper/scoped-client.ts; wrapper/README.md; docs/resources","TypeError on ws.balanceAssignment use; scoped surface silently diverges; counts inconsistent (29/30)","add getter + set-equality test vs ClockifyApiClient resource getters; fix README count","grep + count (executed); scoped-client.test.ts:111 compares against hard-coded list","CLI/MCP bypass the scoped client, so nothing caught it; no CHANGELOG/AGENTS mention suggests oversight","A"
"W-03","request/response mismatch","high","high","verified","Two contradictory webhook payload models ship in one package: flat event-discriminant union (constructEvent default type) vs envelope {webhookEvent,payloadType,payload} fixtures with NO event field; approval type declares owner object, fixture carries ownerId string","webhook-events.ts:589; webhooks.ts:118,196-213; tests/fixtures/webhook-events/*.json (4 files, inner keys verified by script); webhook-fixtures.test.ts:51; webhook-fixtures.test.ts:8-14 (synthesized, not live-probed)","wrapper/webhook-events.ts, webhooks.ts, tests/fixtures, webhook-fixtures.test.ts, webhook-events.test.ts","consumer following documented flat pattern reads event.event===undefined against fixture-documented wire shape; typed union is fiction relative to envelope","probe live wire, pick one model, type it; make both suites cross-assert one model","in-repo contradiction verified; live truth unknown (needs real probe)","fixtures explicitly labeled synthesized; open discrepancy webhook.signature-scheme.shared-secret-not-hmac-doc-only; both suites green because they never cross-check","A"
"W-04","compatibility","medium","high","verified","Browser/edge runtime claim conflicts with unguarded Node-only code: RUNTIME reads process.versions.node at module load; root barrel imports node:crypto, node:os, Buffer","wrapper/src/core/index.ts:17; composed-fetch.ts:32-33; webhooks.ts:22,207,221-222; README.md:1032 browser claim; internal/host-env.ts exists for shimmed process","wrapper/src/core/index.ts, composed-fetch.ts, webhooks.ts; scripts/sdk-codegen/emitter.mjs","importing package in browser/edge without Node shim throws ReferenceError/module-not-found","generate RUNTIME via guarded host helpers (emitter.mjs) or conditionalize README claim","code reading (no bundler run); bundle smoke queued","README admits browsers not in CI","A"
"W-05","dead code","low","high","verified","runWithRetries post-loop return/throw unreachable; lastResponse/lastError accumulators dead","composed-fetch.ts:601-605; composed-fetch.test.ts:1483 (tests believe path reachable)","wrapper/composed-fetch.ts","no runtime effect; dead branch increases mutation-maintenance surface","delete tail + accumulators; update mutant-focused tests","control-flow analysis (every iteration returns/throws)","none","A"
"W-06","unsafe types","low","high","verified","Status-based guards narrow to subclass types unsoundly: isRateLimitError returns err is RateLimitError for any base ClockifyApiError with status 429 (also 409/500/503); retryAfterMs undefined after narrowing","errors.ts:471-494; axioms-checklist.test.ts:34-41 (only constructed-subclass direction)","wrapper/errors.ts","consumers get typed-but-absent retryAfterMs; guard contract false for the common base-429 case","narrow to structural type with optional retryAfterMs, or instanceof-based promotion","code reading; documented in JSDoc as deliberate","docs steer consumers to getRateLimitFromError; contained impact","A"
"W-07","misleading abstraction","low","high","verified","errorCodeEntry silently falls back to CLOCKIFY_ERROR_CODES[0] for unknown codes -> wrong recovery text and retryable flag","error-codes.ts:276,280-284","wrapper/error-codes.ts","misspelled/future code yields invalid_request advice (retryable false) with no error","return undefined and let callers fall back explicitly, or throw","code reading","typed callers cannot hit it","A"
"W-08","doc/code mismatch","low","medium","verified","iterPages documents pageSize max 200; no runtime cap enforced; page-size=500 goes to the wire","iter.ts:41-42 (doc), iter.ts:230 (validation)","wrapper/iter.ts","callers assuming SDK caps get server-side 400 or clamped value (unknown)","clamp/validate <=200 or fix doc","code reading; server behavior unverified (queued live probe)","server may clamp silently","A"
"W-09","dead code / packaging","low","high","verified","Four generated core modules have zero importers yet ship in the tarball (base64, file, form-data-utils, runtime)","grep importers in src/ = 0; core/index.ts:3-17 (not re-exported); present in .packsnapshot","wrapper/src/core/{base64.ts,file,form-data-utils,runtime}; scripts/sdk-codegen/emitter.mjs; sync-sdk.mjs; .packsnapshot","~1kB dead bytes in tarball; reviewer noise; pack gate blesses them","stop emitting in emitter.mjs or prune in sync-sdk.mjs; update .packsnapshot","grep (executed)","core/auth/index.ts is a re-export shim cycle (same family)","A"
"W-10","dead config","low","high","verified","EXPECTED_ROOT_SURFACE_COUNT=93 env var in verify-dual-build.sh never read; dual-build.test.ts comment says 17-name baseline for an 18-entry array","verify-dual-build.sh:18,33,56; tests/dual-build.test.ts:8","wrapper/scripts/verify-dual-build.sh, tests/dual-build.test.ts","count constant could rot without failure","delete env var; fix comment","grep (executed)","none","A"
