"operationId","method","path","sdkGroup","sdkMethod","sdkNaming","liveStatus","sdkSurface","sdkEvidence","mcpTool","mcpStatus","mcpEvidence","cliSurface","cliEvidence","testEvidence","docEvidence"
"uploadImage","POST","/file/image","(derived)","uploadImage","operationId-derived","live-success","present","wrapper/src/api/resources/files/client/Client.ts (generated; derived group files)","","unexposed","docs/operation-parity.json tsMcp=null; candidateTools=clockify_files_upload_image; overrideReason=null","raw-fallback-only (clk115 api)","cli/src/commands/api.ts","none found (per-op)","docs/openapi-operations.md; docs/operation-parity.json"
"getSharedReportsSharedReportId","GET","/shared-reports/{sharedReportId}","sharedReports","view","explicit","live-success","present","wrapper/src/api/resources/sharedReports/client/Client.ts (generated)","clockify_shared_reports_view","present","docs/operation-parity.json tsMcp; mcp/src/tools/**","group-command","cli/src/commands/sharedReports.ts","cli/tests/read-commands-users-tags-shared-reports.test.ts; mcp/tests/sharedReports.test.ts","docs/openapi-operations.md; docs/operation-parity.json"
"getCurrentUser","GET","/user","(derived)","getCurrentUser","operationId-derived","live-success","present","wrapper/src/api/resources/users/client/Client.ts (generated; derived group users)","","unexposed","docs/operation-parity.json tsMcp=null; candidateTools=clockify_users_get_current_user; overrideReason=null","raw-fallback-only (clk115 api)","cli/src/commands/api.ts","none found (per-op)","docs/openapi-operations.md; docs/operation-parity.json"
"getAllMyWorkspaces","GET","/workspaces","workspaces","list","explicit","live-success","present","wrapper/src/api/resources/workspaces/client/Client.ts (generated)","","unexposed","docs/operation-parity.json tsMcp=null; candidateTools=clockify_workspaces_list; overrideReason=null","raw-fallback-only (clk115 api)","cli/src/commands/api.ts","mcp/tests/server.test.ts (group-level); cli: none","docs/openapi-operations.md; docs/operation-parity.json"
"addWorkspace","POST","/workspaces","workspaces","create","explicit","probe-documented","present","wrapper/src/api/resources/workspaces/client/Client.ts (generated)","","unexposed","docs/operation-parity.json tsMcp=null; candidateTools=clockify_workspaces_create; overrideReason=null","raw-fallback-only (clk115 api)","cli/src/commands/api.ts","mcp/tests/server.test.ts (group-level); cli: none","docs/openapi-operations.md; docs/operation-parity.json"
"getWorkspaceInfo","GET","/workspaces/{workspaceId}","workspaces","get","explicit","live-success","present","wrapper/src/api/resources/workspaces/client/Client.ts (generated)","","unexposed","docs/operation-parity.json tsMcp=null; candidateTools=clockify_workspaces_get; overrideReason=null","raw-fallback-only (clk115 api)","cli/src/commands/api.ts","mcp/tests/server.test.ts (group-level); cli: none","docs/openapi-operations.md; docs/operation-parity.json"
"getAddonWebhooksOnWorkspace","GET","/workspaces/{workspaceId}/addons/{addonId}/webhooks","webhooks","listForAddon","explicit","live-success","present","wrapper/src/api/resources/webhooks/client/Client.ts (generated)","","unexposed","docs/operation-parity.json tsMcp=null; candidateTools=clockify_webhooks_list_for_addon; overrideReason=null","group-command","cli/src/commands/webhooks.ts","wrapper/tests/webhooks.test.ts,webhook-events.test.ts,webhook-fixtures.test.ts,webhook-url.test.ts; cli/tests/read-commands-webhooks.test.ts,webhooks.test.ts; mcp/tests/webhooks-create.test.ts,webhooks-ssrf.test.ts,webhooks-redact.test.ts,webhooks-delivery-diagnose.test.ts","docs/openapi-operations.md; docs/operation-parity.json"
"getApprovalRequests","GET","/workspaces/{workspaceId}/approval-requests","approvals","list","explicit","live-success","present","wrapper/src/api/resources/approvals/client/Client.ts (generated)","clockify_approvals_list","present","docs/operation-parity.json tsMcp; mcp/src/tools/**","group-command","cli/src/commands/approvals.ts","cli/tests/approvals.test.ts; mcp/tests/approvals.test.ts","docs/openapi-operations.md; docs/operation-parity.json"
"submitApprovalRequest","POST","/workspaces/{workspaceId}/approval-requests","approvals","submit","explicit","live-success","present","wrapper/src/api/resources/approvals/client/Client.ts (generated)","clockify_approvals_submit","present","docs/operation-parity.json tsMcp; mcp/src/tools/**","group-command","cli/src/commands/approvals.ts","cli/tests/approvals.test.ts; mcp/tests/approvals.test.ts","docs/openapi-operations.md; docs/operation-parity.json"
"resubmitEntriesForApproval","POST","/workspaces/{workspaceId}/approval-requests/resubmit-entries-for-approval","approvals","resubmit","explicit","documented","present","wrapper/src/api/resources/approvals/client/Client.ts (generated)","clockify_approvals_resubmit","present","docs/operation-parity.json tsMcp; mcp/src/tools/**","group-command","cli/src/commands/approvals.ts","cli/tests/approvals.test.ts; mcp/tests/approvals.test.ts","docs/openapi-operations.md; docs/operation-parity.json"
"submitApprovalRequestForUser","POST","/workspaces/{workspaceId}/approval-requests/users/{userId}","approvals","submitForUser","explicit","live-success","present","wrapper/src/api/resources/approvals/client/Client.ts (generated)","","unexposed","docs/operation-parity.json tsMcp=null; candidateTools=clockify_approvals_submit_for_user; overrideReason=null","group-command","cli/src/commands/approvals.ts","cli/tests/approvals.test.ts; mcp/tests/approvals.test.ts","docs/openapi-operations.md; docs/operation-parity.json"
"resubmitEntriesForApprovalForUser","POST","/workspaces/{workspaceId}/approval-requests/users/{userId}/resubmit-entries-for-approval","approvals","resubmitForUser","explicit","probe-documented","present","wrapper/src/api/resources/approvals/client/Client.ts (generated)","","unexposed","docs/operation-parity.json tsMcp=null; candidateTools=clockify_approvals_resubmit_for_user; overrideReason=null","group-command","cli/src/commands/approvals.ts","cli/tests/approvals.test.ts; mcp/tests/approvals.test.ts","docs/openapi-operations.md; docs/operation-parity.json"
"createApprovalForOtherWithType","POST","/workspaces/{workspaceId}/approval-requests/users/{userId}/{type}","approvals","submitForUserWithType","explicit","probe-documented","present","wrapper/src/api/resources/approvals/client/Client.ts (generated)","clockify_approvals_submit_for_user_with_type","present","docs/operation-parity.json tsMcp; mcp/src/tools/**","group-command","cli/src/commands/approvals.ts","cli/tests/approvals.test.ts; mcp/tests/approvals.test.ts","docs/openapi-operations.md; docs/operation-parity.json"
"createApprrovalRequest_1","POST","/workspaces/{workspaceId}/approval-requests/{approvalRequestId}","approvals","submitWithType","explicit","probe-documented","present","wrapper/src/api/resources/approvals/client/Client.ts (generated)","clockify_approvals_submit_with_type","present","docs/operation-parity.json tsMcp; mcp/src/tools/**","group-command","cli/src/commands/approvals.ts","cli/tests/approvals.test.ts; mcp/tests/approvals.test.ts","docs/openapi-operations.md; docs/operation-parity.json"
"updateApprovalRequest","PATCH","/workspaces/{workspaceId}/approval-requests/{approvalRequestId}","approvals","updateStatus","explicit","live-success","present","wrapper/src/api/resources/approvals/client/Client.ts (generated)","","unexposed","docs/operation-parity.json tsMcp=null; candidateTools=clockify_approvals_update_status; overrideReason=null","group-command","cli/src/commands/approvals.ts","cli/tests/approvals.test.ts; mcp/tests/approvals.test.ts","docs/openapi-operations.md; docs/operation-parity.json"
"searchAuditLogs","POST","/workspaces/{workspaceId}/audit-log","auditLogReport","search","explicit","live-success","present","wrapper/src/api/resources/auditLogReport/client/Client.ts (generated)","clockify_audit_log_search","present","docs/operation-parity.json tsMcp; mcp/src/tools/**","group-command","cli/src/commands/auditlog.ts","cli/tests/auditlog.test.ts; mcp/tests/audit.test.ts","docs/openapi-operations.md; docs/operation-parity.json"
"getWorkspacesWorkspaceIdClients","GET","/workspaces/{workspaceId}/clients","clients","list","explicit","live-success","present","wrapper/src/api/resources/clients/client/Client.ts (generated)","clockify_clients_list","present","docs/operation-parity.json tsMcp; mcp/src/tools/**","group-command","cli/src/commands/clients.ts","wrapper/tests/sandbox.test.ts; cli/tests/crud.test.ts; mcp/tests/clients-tool.test.ts","docs/openapi-operations.md; docs/operation-parity.json"
"postWorkspacesWorkspaceIdClients","POST","/workspaces/{workspaceId}/clients","clients","create","explicit","live-success","present","wrapper/src/api/resources/clients/client/Client.ts (generated)","clockify_clients_create","present","docs/operation-parity.json tsMcp; mcp/src/tools/**","group-command","cli/src/commands/clients.ts","wrapper/tests/sandbox.test.ts; cli/tests/crud.test.ts; mcp/tests/clients-tool.test.ts","docs/openapi-operations.md; docs/operation-parity.json"
"getWorkspacesWorkspaceIdClientsClientId","GET","/workspaces/{workspaceId}/clients/{clientId}","clients","get","explicit","live-success","present","wrapper/src/api/resources/clients/client/Client.ts (generated)","clockify_clients_get","present","docs/operation-parity.json tsMcp; mcp/src/tools/**","group-command","cli/src/commands/clients.ts","wrapper/tests/sandbox.test.ts; cli/tests/crud.test.ts; mcp/tests/clients-tool.test.ts","docs/openapi-operations.md; docs/operation-parity.json"
"putWorkspacesWorkspaceIdClientsClientId","PUT","/workspaces/{workspaceId}/clients/{clientId}","clients","update","explicit","live-success","present","wrapper/src/api/resources/clients/client/Client.ts (generated)","clockify_clients_update","present","docs/operation-parity.json tsMcp; mcp/src/tools/**","group-command","cli/src/commands/clients.ts","wrapper/tests/sandbox.test.ts; cli/tests/crud.test.ts; mcp/tests/clients-tool.test.ts","docs/openapi-operations.md; docs/operation-parity.json"
"deleteWorkspacesWorkspaceIdClientsClientId","DELETE","/workspaces/{workspaceId}/clients/{clientId}","clients","delete","explicit","live-success","present","wrapper/src/api/resources/clients/client/Client.ts (generated)","clockify_clients_delete","present","docs/operation-parity.json tsMcp; mcp/src/tools/**","group-command","cli/src/commands/clients.ts","wrapper/tests/sandbox.test.ts; cli/tests/crud.test.ts; mcp/tests/clients-tool.test.ts","docs/openapi-operations.md; docs/operation-parity.json"
"updateWorkspaceCostRate","PUT","/workspaces/{workspaceId}/cost-rate","workspaces","updateCostRate","explicit","live-success","present","wrapper/src/api/resources/workspaces/client/Client.ts (generated)","","unexposed","docs/operation-parity.json tsMcp=null; candidateTools=clockify_workspaces_update_cost_rate; overrideReason=null","raw-fallback-only (clk115 api)","cli/src/commands/api.ts","mcp/tests/server.test.ts (group-level); cli: none","docs/openapi-operations.md; docs/operation-parity.json"
"listWorkspaceCustomFields","GET","/workspaces/{workspaceId}/custom-fields","customFields","listForWorkspace","explicit","live-success","present","wrapper/src/api/resources/customFields/client/Client.ts (generated)","","unexposed","docs/operation-parity.json tsMcp=null; candidateTools=clockify_custom_fields_list_for_workspace; overrideReason=null","raw-fallback-only (clk115 api)","cli/src/commands/api.ts","mcp/tests/customFields.test.ts","docs/openapi-operations.md; docs/operation-parity.json"
